iter	Passed	Remaining
900	1730	190
901	1732	188
902	1733	186
903	1735	184
904	1737	182
905	1738	180
906	1740	178
907	1742	176
908	1743	174
909	1745	172
910	1747	170
911	1748	168
912	1750	166
913	1752	164
914	1753	162
915	1755	160
916	1757	159
917	1758	157
918	1760	155
919	1762	153
920	1764	151
921	1765	149
922	1767	147
923	1769	145
924	1770	143
925	1772	141
926	1774	139
927	1776	137
928	1777	135
929	1779	133
930	1781	132
931	1782	130
932	1784	128
933	1786	126
934	1787	124
935	1789	122
936	1791	120
937	1793	118
938	1794	116
939	1796	114
940	1798	112
941	1799	110
942	1801	108
943	1803	106
944	1805	105
945	1806	103
946	1808	101
947	1810	99
948	1811	97
949	1813	95
950	1815	93
951	1816	91
952	1818	89
953	1820	87
954	1821	85
955	1823	83
956	1825	82
957	1826	80
958	1828	78
959	1830	76
960	1831	74
961	1833	72
962	1835	70
963	1837	68
964	1838	66
965	1840	64
966	1842	62
967	1843	60
968	1845	59
969	1847	57
970	1849	55
971	1850	53
972	1852	51
973	1853	49
974	1855	47
975	1857	45
976	1859	43
977	1860	41
978	1862	39
979	1864	38
980	1866	36
981	1868	34
982	1869	32
983	1871	30
984	1873	28
985	1875	26
986	1876	24
987	1878	22
988	1880	20
989	1881	19
990	1883	17
991	1885	15
992	1887	13
993	1888	11
994	1890	9
995	1892	7
996	1893	5
997	1895	3
998	1897	1
999	1898	0
